Key,Czech (Czech Republic)(cs-CZ),English (United States)(en-US),Slovak (Slovakia)(sk-SK)
BIN_Q0,"Kolik číslic používá binární soustava?","How many digits does the binary system use?","Koľko číslic používa binárna sústava?"
BIN_Q0_A0,"2 (0 a 1)","2 (0 and 1)","2 (0 a 1)"
BIN_Q0_A1,"10","10","10"
BIN_Q0_A2,"16","16","16"
BIN_Q1,"Jaké číslo v desítkové soustavě odpovídá binárnímu zápisu 1010?","What decimal number corresponds to the binary notation 1010?","Aké číslo v desiatkovej sústave zodpovedá binárnemu zápisu 1010?"
BIN_Q1_A0,"10","10","10"
BIN_Q1_A1,"5","5","5"
BIN_Q1_A2,"12","12","12"
BIN_Q2,"Jaké číslo v binární soustavě odpovídá desítkovému číslu 7?","What binary number corresponds to the decimal number 7?","Aké číslo v binárnej sústave zodpovedá desiatkovému číslu 7?"
BIN_Q2_A0,"111","111","111"
BIN_Q2_A1,"1001","1001","1001"
BIN_Q2_A2,"1010","1010","1010"
BIN_Q3,"Co znamená hodnota 1 v binárním kódu?","What does the value 1 mean in binary code?","Čo znamená hodnota 1 v binárnom kóde?"
BIN_Q3_A0,"Zapnuto / pravda","On / True","Zapnuté / pravda"
BIN_Q3_A1,"Vypnuto / nepravda","Off / False","Vypnuté / nepravda"
BIN_Q3_A2,"Číslo dva","Number two","Číslo dva"
BIN_Q4,"Jak se nazývá zápis čísla pouze pomocí číslic 0 a 1?","What is the notation using only 0 and 1 called?","Ako sa nazýva zápis čísla len pomocou číslic 0 a 1?"
BIN_Q4_A0,"Binární kód","Binary code","Binárny kód"
BIN_Q4_A1,"Desítkový kód","Decimal code","Desiatkový kód"
BIN_Q4_A2,"Hexadecimální kód","Hexadecimal code","Hexadecimálny kód"
GTS_Q0,"Jaký výsledek má logická funkce AND, když jsou oba vstupy 1?","What is the result of the logical AND function when both inputs are 1?","Aký výsledok má logická funkcia AND, keď sú oba vstupy 1?"
GTS_Q0_A0,"1","1","1"
GTS_Q0_A1,"0","0","0"
GTS_Q0_A2,"Závisí na náhodě","It depends on chance","Závisí od náhody"
GTS_Q1,"Jaký výsledek má logická funkce OR, když jsou oba vstupy 0?","What is the result of the logical OR function when both inputs are 0?","Aký výsledok má logická funkcia OR, keď sú oba vstupy 0?"
GTS_Q1_A0,"0","0","0"
GTS_Q1_A1,"1","1","1"
GTS_Q1_A2,"Nelze určit","Cannot be determined","Nedo sa určiť"
GTS_Q2,"Které hradlo dává výstup 1 pouze tehdy, když jsou vstupy různé?","Which gate gives an output of 1 only when the inputs are different?","Ktoré hradlo dáva výstup 1 iba vtedy, keď sú vstupy rôzne?"
GTS_Q2_A0,"XOR","XOR","XOR"
GTS_Q2_A1,"OR","OR","OR"
GTS_Q2_A2,"AND","AND","AND"
GTS_Q3,"Kolik možných stavů má jeden logický bit?","How many possible states does one logical bit have?","Koľko možných stavov má jeden logický bit?"
GTS_Q3_A0,"2 (0 a 1)","2 (0 and 1)","2 (0 a 1)"
GTS_Q3_A1,"10","10","10"
GTS_Q3_A2,"Nekonečně mnoho","Infinitely many","Nekonečne veľa"
GTS_Q4,"Co provádí logická funkce NOT se vstupem 0?","What does the logical NOT function do with an input of 0?","Čo robí logická funkcia NOT so vstupom 0?"
GTS_Q4_A0,"1","1","1"
GTS_Q4_A1,"0","0","0"
GTS_Q4_A2,"Výstup se nezmění","The output does not change","Výstup sa nezmení"
CPU_Q0,"Co je hlavní funkcí CPU?","What is the main function of the CPU?","Čo je hlavnou funkciou CPU?"
CPU_Q0_A0,"Vykonává instrukce a řídí činnost počítače","Executes instructions and controls computer activity","Vykonáva inštrukcie a riadi činnosť počítača"
CPU_Q0_A1,"Ukládá data trvale i po vypnutí počítače do paměti","Stores data permanently even after the computer is turned off","Ukladá dáta trvalo aj po vypnutí počítača do pamäte"
CPU_Q0_A2,"Zajišťuje připojení počítače k internetu a síťovým službám","Ensures computer connection to the internet and network services","Zaisťuje pripojenie počítača k internetu a sieťovým službám"
CPU_Q1,"Co udává taktovací frekvence procesoru?","What does the processor clock frequency indicate?","Čo udáva taktovacia frekvencia procesora?"
CPU_Q1_A0,"Kolik instrukcí za sekundu dokáže vykonat","How many instructions it can execute per second","Koľko inštrukcií za sekundu dokáže vykonať"
CPU_Q1_A1,"Jak velkou kapacitu má pevný disk pro ukládání dat","What is the data storage capacity of the hard drive","Akú veľkú kapacitu má pevný disk na ukladanie dát"
CPU_Q1_A2,"Kolik dat se maximálně vejde do operační paměti počítače","The maximum amount of data that fits in the RAM","Koľko dát sa maximálne zmestí do operačnej pamäte počítača"
CPU_Q2,"V jakých jednotkách se udává taktovací frekvence procesoru?","In what units is the processor clock frequency given?","V akých jednotkách sa udáva taktovacia frekvencia procesora?"
CPU_Q2_A0,"Hertz (Hz), obvykle gigahertz (GHz)","Hertz (Hz), usually gigahertz (GHz)","Hertz (Hz), zvyčajne gigahertz (GHz)"
CPU_Q2_A1,"Gigabajty (GB)","Gigabytes (GB)","Gigabajty (GB)"
CPU_Q2_A2,"Watty (W)","Watts (W)","Watty (W)"
CPU_Q3,"K čemu slouží cache paměť v CPU?","What is the purpose of cache memory in the CPU?","Na čo slúži cache pamäť v CPU?"
CPU_Q3_A0,"K urychlení přístupu k často používaným datům","To speed up access to frequently used data","Na urýchlenie prístupu k často používaným dátam"
CPU_Q3_A1,"K trvalému ukládání dokumentů a souborů v počítači","For permanent storage of documents and files on the computer","Na trvalé ukladanie dokumentov a súborov v počítači"
CPU_Q3_A2,"K přímému zpracování a zobrazování grafiky na monitoru","For direct processing and displaying of graphics on the monitor","Na priame spracovanie a zobrazovanie grafiky na monitore"
CPU_Q4,"Co se stane s CPU při příliš vysoké zátěži bez chlazení?","What happens to the CPU under too much load without cooling?","Čo sa stane s CPU pri príliš vysokej záťaži bez chladenia?"
